"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2018","1,506.07","1,482.99","1,506.54","1,482.29","","1.56%"
"09/16/2018","1,482.99","1,498.21","1,511.39","1,482.99","","-1.02%"
"09/09/2018","1,498.21","1,475.90","1,523.28","1,467.36","","1.51%"
"09/02/2018","1,475.90","1,542.77","1,542.77","1,474.12","","-4.33%"
"08/26/2018","1,542.77","1,538.70","1,551.09","1,532.44","","0.26%"
"08/19/2018","1,538.70","1,528.58","1,540.94","1,525.08","","0.66%"
"08/12/2018","1,528.58","1,524.96","1,533.79","1,511.41","","0.24%"
"08/05/2018","1,524.96","1,531.96","1,541.73","1,519.79","","-0.46%"
"07/29/2018","1,531.96","1,536.13","1,549.42","1,519.58","","-0.27%"
"07/22/2018","1,536.13","1,547.34","1,551.38","1,524.61","","-0.72%"
"07/15/2018","1,547.34","1,546.75","1,555.28","1,538.65","","0.04%"
"07/08/2018","1,546.75","1,560.08","1,564.67","1,541.96","","-0.70%"
"07/01/2018","1,557.59","1,577.01","1,581.73","1,557.59","","-1.23%"
"06/24/2018","1,577.01","1,522.79","1,577.01","1,512.42","","3.56%"
"06/17/2018","1,522.79","1,541.23","1,559.14","1,522.79","","-1.20%"
"06/10/2018","1,541.23","1,547.96","1,557.10","1,538.76","","-0.43%"
"06/03/2018","1,547.96","1,564.47","1,567.34","1,543.65","","-1.06%"
"05/27/2018","1,564.47","1,526.36","1,564.50","1,519.12","","2.50%"
"05/20/2018","1,526.36","1,520.52","1,530.34","1,515.71","","0.38%"
"05/13/2018","1,520.52","1,550.08","1,572.51","1,519.70","","-1.91%"
"05/06/2018","1,550.08","1,547.04","1,562.23","1,536.57","","0.20%"
"04/29/2018","1,547.04","1,566.45","1,571.44","1,546.39","","-1.24%"
"04/22/2018","1,566.45","1,561.45","1,580.29","1,548.46","","0.32%"
"04/15/2018","1,561.45","1,538.44","1,573.04","1,528.61","","1.50%"
"04/08/2018","1,538.44","1,520.76","1,567.36","1,519.80","","1.16%"
